Title,Year,Rating,Description,Poster URL,Page URL
Her,N/A,N/A,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user’s every need. To Theodore’s surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",https://a.ltrbxd.com/resized/sm/upload/cb/fz/at/20/her-1200-1200-675-675-crop-000000.jpg?v=81add3bc83,https://letterboxd.com/film/her/
The Social Network,N/A,N/A,"In 2003, Harvard undergrad and computer genius Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, he is one of the youngest billionaires ever, but Zuckerberg finds that his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",https://a.ltrbxd.com/resized/sm/upload/dr/ty/49/rl/the-social-network-2010-1200-1200-675-675-crop-000000.jpg?v=cbacd98bfa,https://letterboxd.com/film/the-social-network/
Dead Poets Society,N/A,N/A,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",https://a.ltrbxd.com/resized/sm/upload/6e/ah/fr/pn/dead-poets-society-1200-1200-675-675-crop-000000.jpg?v=f2a7da1105,https://letterboxd.com/film/dead-poets-society/
Nope,N/A,N/A,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",https://a.ltrbxd.com/resized/sm/upload/3x/n2/o4/ia/nope-2022-1200-1200-675-675-crop-000000.jpg?v=cebe6abc6f,https://letterboxd.com/film/nope/
Scott Pilgrim vs. the World,N/A,N/A,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",https://a.ltrbxd.com/resized/sm/upload/tj/1l/fv/xj/scott-pilgrim-170-1200-1200-675-675-crop-000000.jpg?v=a57694ded8,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
The Matrix,N/A,N/A,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",https://a.ltrbxd.com/resized/sm/upload/o3/er/ey/ie/matrix-1200-1200-675-675-crop-000000.jpg?v=eea86a2195,https://letterboxd.com/film/the-matrix/
Fantastic Mr. Fox,N/A,N/A,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",https://a.ltrbxd.com/resized/sm/upload/be/5b/hi/85/fantastic-mr-fox-1200-1200-675-675-crop-000000.jpg?v=da0201b5cf,https://letterboxd.com/film/fantastic-mr-fox/
Challengers,N/A,N/A,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi’s former boyfriend.",https://a.ltrbxd.com/resized/sm/upload/1v/t5/ny/lk/MV5BYWRmZWM2ZTktMzE1Ny00NmQyLWE3ZDItZTk5MjY5OGQ5NzdhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_-1200-1200-675-675-crop-000000.jpg?v=bc9f57c5b8,https://letterboxd.com/film/challengers/
Taxi Driver,N/A,N/A,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,https://a.ltrbxd.com/resized/sm/upload/tu/1i/09/tr/taxi-driver-40-1200-1200-675-675-crop-000000.jpg?v=dd9cd7a397,https://letterboxd.com/film/taxi-driver/
Inside Out,N/A,N/A,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",https://a.ltrbxd.com/resized/sm/upload/b5/4z/eo/e7/inside-out-2015-1200-1200-675-675-crop-000000.jpg?v=a6967f7121,https://letterboxd.com/film/inside-out-2015/
